"Pair","pair_1","pair_2","Bowker_pv","Bowker_ts","Stuart_pv","Stuart_ts","IS_pv","IS_ts","QS_pv","QS_ts","Sat_cassius1_pv","Sat_test_Cassius1","Sat_cassius2_pv","Sat_test_Cassius2","Chi_Test_pv","Chi_test","simulation"
"(S1; S5)","S1","S5",2.4664800720769e-40,199.465,2.84996677805516e-42,196.16,0.346927892906815,3.30514,0.637455790509837,0.471259,0.416905410840419,0.00363413,0.507157126196117,-0.000310751,0.741463596179647,5.98455,80
"(S2; S3)","S2","S3",1.96418846491739e-33,166.981,7.90271079096925e-36,166.326,0.88361767189975,0.655499,0.484132791191485,-0.699671,1.25443739562154e-259,0.595828,1.66811242487107e-206,0.530742,4.12358265031184e-239,1137.31,80
"(S2; S4)","S2","S4",9.57915786807147e-57,276.332,2.96003305438932e-59,274.706,0.653493174836203,1.62607,0.71008644014501,-0.37174,0.909084705267274,-0.0231253,0.931003331632547,-0.0256916,0.895039006089633,4.23831,80
"(S2; S5)","S2","S5",9.80408547481076e-56,271.612,4.69729252531323e-58,269.157,0.483540788258919,2.45466,0.200875927993755,1.27906,0.73603559390028,-0.0109322,0.773178204729888,-0.0129792,0.737348407155277,6.02565,80
"(S3; S4)","S3","S4",1.32302801210559e-169,800.305,1.0717198708444e-172,798.184,0.547549276667698,2.12163,0.544584479879678,0.605895,0.993286692412703,-0.0428206,0.994913374223173,-0.0445117,0.986507664089979,2.26701,80
"(S3; S5)","S3","S5",2.34989321246631e-168,794.522,2.97874452110427e-171,791.526,0.3923148759163,2.99553,0.341506918774439,-0.951192,0.999342030327654,-0.0556418,0.999519296066444,-0.0571851,0.894638725195127,4.2439,80
"(S4; S5)","S4","S5",0.614143548524711,4.46402,0.967490766526289,0.259307,0.240190747794622,4.20471,0.912890785620301,-0.109393,0,0.808065,0,0.827764,0,2294.34,80
"(S1; S2)","S1","S2",0.0134617852755069,16.055,0.00286124682203236,14.0325,0.567741648284699,2.02254,0.162856074647689,1.39553,0,0.846084,0,0.844362,0,2401.6,81
"(S1; S3)","S1","S3",1.12846032224711e-10,58.0329,2.80088380849919e-11,52.1366,0.116769973377831,5.89622,0.107428423075337,1.60986,9.35211251072949e-158,0.463055,7.66131084549363e-158,0.463184,3.47037772688643e-152,733.946,81
"(S1; S4)","S1","S4",0.000161416931889103,26.7481,1.86977905553847e-05,24.6023,0.54270681913888,2.14578,0.333563030428027,-0.966962,0.580689165336267,-0.00352744,0.615977702446912,-0.0051084,0.58744359000542,7.47836,81
"(S1; S5)","S1","S5",0.00011498654704314,27.5338,7.1806899189576e-06,26.5885,0.814477109268669,0.94533,0.869825611912541,-0.16388,0.504941798892715,-0.000214559,0.539294938127308,-0.0017088,0.230425518661505,11.7055,81
"(S2; S3)","S2","S3",0.00138405326837593,21.6792,0.000105180575847727,21.0019,0.87851878191179,0.677347,0.544306263757325,-0.606314,6.48215138244347e-218,0.545376,1.92174467078494e-214,0.540965,1.25947595229969e-207,991.357,81
"(S2; S4)","S2","S4",1.92315418782161e-12,66.7169,1.50940259364695e-13,62.7627,0.266454558713785,3.95418,0.105193616358654,-1.62018,0.672163495702868,-0.00772313,0.677298170616819,-0.00797015,0.586805204238245,7.48454,81
"(S2; S5)","S2","S5",1.60079633106019e-11,62.2074,2.63191528145404e-13,61.6331,0.902311084702702,0.574206,0.595430559668537,0.530983,0.929650100134895,-0.0255164,0.933044897042837,-0.025961,0.834604545916734,4.9966,81
"(S3; S4)","S3","S4",1.70358703421165e-26,134.166,9.16525220984793e-29,133.577,0.898972801897209,0.588882,0.75418569620808,-0.313125,0.128468199709441,0.0196356,0.125793716058114,0.019858,0.264634923547023,11.164,81
"(S3; S5)","S3","S5",6.69835869869932e-27,136.089,4.46041910238319e-29,135.028,0.786660578370714,1.06032,0.589672280004605,-0.539311,0.942192314492889,-0.0272529,0.944647688217266,-0.0276268,0.679692719321046,6.59027,81
"(S4; S5)","S4","S5",0.0558539017408791,12.2875,0.150232018058601,5.31345,0.0727304696265205,6.97402,0.171895025482339,-1.36614,0,0.893343,0,0.887575,0,2634.52,81
"(S1; S2)","S1","S2",0.0612697562078908,12.0315,0.00851272641739476,11.6929,0.952619896813311,0.338563,0.786527938430568,-0.270822,0,0.854115,0,0.844754,0,2418.5,82
"(S1; S3)","S1","S3",1.7269803435499e-27,138.88,1.86750426513487e-29,136.782,0.5522122354464,2.09852,0.412127181515945,0.820156,8.31898362956301e-177,0.490617,6.09574969163819e-161,0.467777,3.02408532744423e-171,822.515,82
"(S1; S4)","S1","S4",1.15164038702382e-24,125.475,5.43461170805759e-26,120.707,0.189627312165322,4.7676,0.216860279230902,1.23492,0.901566295253672,-0.0223526,0.917259357723527,-0.0240213,0.0184347635667265,19.9165,82
"(S1; S5)","S1","S5",4.15402007394752e-26,132.329,2.84634532153331e-27,126.653,0.128473276900481,5.67617,0.0773807508893243,-1.76609,0.598177662783277,-0.00430645,0.664526400869961,-0.00735859,0.229797460985382,11.716,82
"(S2; S3)","S2","S3",1.28404826013765e-17,91.7943,2.11770620574217e-19,90.0684,0.631191067426389,1.7259,0.332962970296206,-0.968163,7.40258119407766e-246,0.579657,2.12516063258773e-222,0.551021,5.39348066109346e-234,1113.6,82
"(S2; S4)","S2","S4",1.01233517355397e-34,173.053,2.41788149718488e-35,164.076,0.0295916711844401,8.97749,0.422175325608815,0.802653,0.43287733704855,0.00292809,0.479811865167412,0.000876864,0.147961716085479,13.3365,82
"(S2; S5)","S2","S5",4.77813224721648e-36,179.3,6.3385304041382e-37,171.402,0.0481665871164488,7.89804,0.0145137548376502,-2.44429,0.0957417626201904,0.0226241,0.114727075300426,0.0208152,0.038987346883251,17.6867,82
"(S3; S4)","S3","S4",6.74700340526301e-94,449.358,5.37609686121239e-96,444.382,0.173592576060851,4.9756,0.338685376916176,0.956766,0.915452187993457,-0.0238177,0.920970968164159,-0.0244502,0.62835533945869,7.08418,82
"(S3; S5)","S3","S5",2.51344204800349e-96,460.642,3.91447806596751e-99,458.864,0.619882750489654,1.77732,0.336515967092632,0.961072,0.928175401250992,-0.0253284,0.933601887243122,-0.0260356,0.223724199498402,11.8187,82
"(S4; S5)","S4","S5",0.774533216238792,3.26802,0.93318051334496,0.433774,0.417894376101336,2.83424,0.752937809879927,0.314768,0,0.89339,0,0.887248,0,2635.49,82
"(S1; S2)","S1","S2",0.175487901670469,8.9662,0.0442504680378311,8.08685,0.830408292655711,0.879349,0.639463534068151,-0.468449,0,0.858678,0,0.858447,0,2491.32,83
"(S1; S3)","S1","S3",1.46284557296671e-14,77.0335,7.44482977521015e-16,73.5406,0.321676333698556,3.49296,0.0846771582056096,1.72417,1.5466651267122e-181,0.497225,2.26744406097015e-173,0.485762,1.168413762244e-176,847.653,83
"(S1; S4)","S1","S4",5.26653533187573e-17,88.8438,6.54584758444375e-19,87.7863,0.787325441754704,1.05757,0.823100469435601,-0.223559,0.617401516823382,-0.005173,0.652839626627378,-0.00680693,0.500464480125372,8.33811,83
"(S1; S5)","S1","S5",1.33053481544313e-15,82.0755,4.30316810130483e-17,79.3158,0.430163711622422,2.75978,0.300239466224305,1.03592,0.269010765107721,0.0106661,0.284994914805526,0.0098392,0.401436928351834,9.3973,83
"(S2; S3)","S2","S3",2.39239189313638e-11,61.3501,6.88236491925971e-13,59.6794,0.643467380627608,1.6707,0.971153584447007,-0.0361615,1.28919553679959e-235,0.567333,7.37519276117973e-224,0.552846,3.76049911752272e-235,1118.96,83
"(S2; S4)","S2","S4",4.274010085806e-21,108.464,2.85956599362895e-23,108.067,0.940813085074534,0.397235,0.819831269868706,-0.227762,0.400416958817589,0.00436941,0.43867941540346,0.00267287,0.668785024715786,6.69553,83
"(S2; S5)","S2","S5",9.35968139838508e-20,102.052,1.95987863317864e-21,99.5315,0.471599459958489,2.52049,0.192182443847168,1.30415,0.224053492415466,0.0131389,0.236854591594044,0.0124094,0.249952296940072,11.3895,83
"(S3; S4)","S3","S4",2.60402681148727e-60,292.985,1.52073871533818e-62,289.907,0.379690178489353,3.07843,0.295376392760923,-1.0464,0.946161539676157,-0.0278639,0.94602563116637,-0.0278424,0.29279826761537,10.7561,83
"(S3; S5)","S3","S5",1.71513791016631e-56,275.15,2.61209821185981e-58,270.335,0.185818866108773,4.81547,0.208724668488506,1.25708,0.418657377169715,0.00355641,0.445329429491301,0.00238106,0.233737046541068,11.6505,83
"(S4; S5)","S4","S5",0.652917016406942,4.17567,0.806094111804194,0.979988,0.362427929989465,3.19568,0.31225579943123,1.0105,0,0.897557,0,0.885835,0,2622.23,83
"(S1; S2)","S1","S2",0.0679636751313057,11.7426,0.0598965603893492,7.41075,0.227785417574706,4.33188,0.580059370337378,0.553298,0,0.919511,0,0.917103,0,2837.96,84
"(S1; S3)","S1","S3",7.87841278678617e-22,111.971,8.96012324400741e-24,110.409,0.66815059270446,1.5615,0.997610538783194,0.00299475,1.24324710176595e-184,0.501501,2.21197512350962e-172,0.484355,9.19991292363262e-181,866.707,84
"(S1; S4)","S1","S4",5.7625619792078e-19,98.2688,6.81095099015218e-21,97.0151,0.740153316456148,1.25371,0.428399160808579,0.791934,0.0871096200886475,0.0235346,0.113946958589866,0.0208851,0.708391670509978,6.31141,84
