Sequences compared,Sat_test_Cassius_1,Sat_test_Cassius_2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(M._australis_I; M._parkinsoni_I_AS_S7),0.286429,0.238311,2453.51,4278.01,4275.02,2.98849,-nan,6664
(M._australis_I; M._parkinsoni_II_AS),2.89266,2.77948,17203,7.02771,4.57848,2.44922,1.02875,6664
(M._australis_I; M._caerulea),2.78795,2.68081,16006.6,18.5575,8.59313,9.96432,1.37561,6654
(M._australis_I; M._maccullochi_III),2.76587,2.66282,15793.2,34.0285,24.8523,9.17618,0.916191,6651
(M._australis_I; M._maccullochi_II),2.78386,2.6781,15967.9,18.2279,11.7645,6.46345,0.832871,6651
(M._australis_I; M._maccullochi_I_AS),2.7843,2.6749,15936.8,13.9311,8.78561,5.14549,1.20534,6654
(M._australis_I; M._ogilbyi),2.79069,2.68348,16039.6,9.87435,5.45551,4.41883,0.93888,6655
(M._australis_I; M._papuae),2.79793,2.69107,16123.5,22.5481,12.978,9.57013,0.531699,6652
(M._australis_I; M._sexlineata_I),2.79329,2.68458,16047.5,20.2513,11.3961,8.85519,1.53014,6654
(M._australis_I; M._sexlineata_II),2.79578,2.68597,16064,18.4554,10.0452,8.41022,1.37335,6654
(M._australis_I; M._sylvatica),2.79517,2.69113,16106.3,23.2095,11.1985,12.011,0.409787,6644
(M._australis_I; M._sp._Dekai),2.78796,2.68271,16032.4,22.4987,11.388,11.1107,1.9265,6655
(M._australis_I; M._sp._NT),2.7838,2.67474,15935.5,19.3201,5.3739,13.9462,2.09794,6655
(M._australis_I; M._sp._Bindoola_S7),0.268499,0.213713,2299.63,4274.79,4274.18,0.615903,-0.459519,6661
(M._australis_I; M._exquisita),2.76966,2.65437,15710.6,11.897,3.20581,8.69119,0.827962,6661
(M._australis_I; M._gracilis),2.74739,2.63856,15530.8,19.1266,11.1398,7.98672,0.371511,6661
(M._australis_I; M._nigrans_I),2.77113,2.65811,15761.5,8.84705,3.23031,5.61674,0.311298,6664
(M._australis_I; M._nigrans_II),2.76895,2.65543,15731.6,16.4716,3.20064,13.271,0.377658,6664
(M._australis_I; M._pygmaea),2.76986,2.66157,15783.2,13.0632,4.80097,8.26223,1.0891,6657
(M._australis_I; M._australis_III_MT),2.24852,2.23493,11603.5,584.138,578.854,5.28393,2.13554,6672
(M._australis_I; M._goldiei_XI),2.73518,2.62993,15446.1,6.98529,4.05643,2.92886,0.0600189,6666
(M._australis_I; M._goldiei_IV),2.72313,2.61822,15316,11.2633,9.18871,2.07459,0.125285,6666
(M._australis_I; M._goldiei_VIII),2.7449,2.63555,15508.5,9.68497,4.92164,4.76334,-0.790498,6666
