
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S3; S5),2.09945,2.09986,146988,10.829,5.8967,4.93226,-1.74772,100000
(S3; S6),2.25107,2.25137,168960,10.6016,3.52193,7.07964,-2.43811,100000
(S3; S7),2.28083,2.28069,173388,5.85648,0.962005,4.89448,-2.06713,100000
(S3; S8),2.1658,2.16529,156284,1.27526,0.646249,0.629006,-0.759163,100000
(S4; S5),2.16544,2.16504,156253,6.56586,5.03164,1.53422,-0.314981,100000
(S4; S6),2.3209,2.32033,179470,5.53071,2.40555,3.12516,-1.46501,100000
(S4; S7),2.35019,2.34916,183956,4.76081,1.52726,3.23355,-1.19747,100000
(S4; S8),2.23141,2.23004,165773,2.43103,0.688098,1.74294,0.227008,100000
(S5; S6),2.51105,2.51167,210285,2.68152,1.53994,1.14158,0.170011,100000
(S5; S7),2.34902,2.34915,183954,6.4349,4.03422,2.40068,-0.0591086,100000
(S5; S8),2.23027,2.23,165767,6.12588,5.39347,0.732403,0.664368,100000
(S6; S7),2.51611,2.5161,211026,4.3827,2.37034,2.01237,0.671641,100000
(S6; S8),2.38808,2.38764,190030,6.08539,3.19447,2.89092,1.60962,100000
(S7; S8),2.77151,2.77047,255851,9.1289,1.10469,8.02421,1.67186,100000
Sequences compared,Sat_test_Cassius1,Sat_test_Cassius2,Chi_test,Bowker_test,Stuart_test,Internal_Symmetry,Proposed_test,Alignment_Length
(S1; S2),2.43262,2.43052,196917,3.35216,0.95352,2.39864,-0.489906,100000
(S1; S3),2.17642,2.17536,157740,2.96508,0.504699,2.46038,0.364466,100000
(S1; S4),2.2369,2.23634,166711,2.56735,1.42635,1.141,0.151881,100000
(S1; S5),2.05812,2.05634,140956,3.15221,2.4337,0.718512,0.0428874,100000
(S1; S6),2.20721,2.20604,162225,6.37808,3.7933,2.58478,0.207818,100000
(S1; S7),2.24414,2.24473,167967,6.56979,3.16623,3.40356,0.114413,100000
(S1; S8),2.12535,2.12477,150493,4.12886,3.32573,0.803135,0.0384663,100000
(S2; S3),2.33164,2.33082,181093,3.79882,1.4331,2.36572,-0.0973802,100000
(S2; S4),2.39396,2.39369,190997,3.3025,1.84794,1.45456,0.0453556,100000
(S2; S5),2.203,2.2014,161542,6.79784,5.42251,1.37532,-0.484675,100000
(S2; S6),2.36478,2.36387,186266,8.6507,7.09071,1.55998,-0.186286,100000
